al_#,Title,AL# FY,Agency,Sub-agency,FPI GWO,GWO ID
11.452,Unallied Industry Projects,FY24,Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),Strengthen Environmental Research,J1
11.457,Chesapeake Bay Studies,FY24,Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),Strengthen Environmental Research,J1
11.459,Weather and Air Quality Research,FY24,Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),Strengthen Environmental Research,J1
11.473,Office for Coastal Management,FY24,Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),Strengthen Environmental Research,J1
11.478,Center for Sponsored Coastal Ocean Research Coastal Ocean Program,FY24,Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),Strengthen Environmental Research,J1
10.273,National Atmospheric Deposition Program,New for FY25,Department of Agriculture,National Institute of Food and Agriculture,Strengthen Environmental Research,J1
10.709,Cost Reimbrsable Agreements,New for FY25,Department of Agriculture,Forest Service,Strengthen Environmental Research,J1
15.571,Salton Sea Program,FY24,Department of the Interior,Bureau of Reclamation,Protect Clean Air and Water,J2
66.447,Sewer Overflow and Stormwater Reuse Municipal Grant Program,FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.202,Congressionally Mandated Projects,FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.419,"Water Pollution Control State, Interstate, and Tribal Program Support",FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.436,"Surveys, Studies, Investigations, Demonstrations, and Training Grants and Cooperative Agreements - Section 104(b)(3) of the Clean Water Act",FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.446,Technical Assistance for Treatment Works (Clean Water Act [CWA] Section 104(b)(8)),FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.46,Nonpoint Source Implementation Grants,FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.486,Underground Injection Control Program Grants: Class VI Carbon Sequestration Wells,FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.608,Environmental Information Exchange Network Grant Program and Related Assistance,FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.615,Environmental Justice Thriving Communities Grantmaking Program (EJ TCGM),FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.616,Environmental and Climate Justice Community Change Grants Program,FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.957,Greenhouse Gas Reduction Fund: National Clean Investment Fund,FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
15.018,Energy Community Revitalization Program (ECRP),FY24,Department of the Interior,Departmental Offices,Protect Clean Air and Water,J2
66.001,Air Pollution Control Program Support,FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.033,Ozone Transport Commission,FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.034,"Surveys, Studies, Research, Investigations, Demonstrations, and Special Purpose Activities Relating to the Clean Air Act",FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.037,"Internships, Training and Workshops for the Office of Air and Radiation",FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.038,"Training, Investigations, and Special Purpose Activities of Federally-Recognized Indian Tribes Consistent With the Clean Air Act (CAA), Tribal Sovereignty and the Protection and Management of Air Quality",FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.039,Diesel Emission Reduction Act (DERA) National Grants,FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.04,Diesel Emissions Reduction Act (DERA) State Grants,FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.045,Clean School Bus Program,FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.046,Climate Pollution Reduction Grants,FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.047,Hydrofluorocarbon Reclaim and Innovative Destruction Grants,FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.048,Greenhouse Gas and Zero Emission On-road Mobile Source Standards,FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.049,Clean Heavy-Duty Vehicles Program,FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.051,Clean Ports Program,FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.203,Environmental Finance Center Grants,FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.306,Environmental Justice Collaborative Problem-Solving Cooperative Agreement Program,FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.424,"Surveys, Studies, Investigations, Demonstrations, and Training Grants - Section 1442 of the Safe Drinking Water Act",FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.508,Senior Environmental Employment Program,FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.721,Reducing Embodied Greenhouse Gas Emissions for Construction Materials and Products,FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.956,Targeted Airshed Grant Program,FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.959,Greenhouse Gas Reduction Fund: Solar for All,FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
66.96,Greenhouse Gas Reduction Fund: Clean Communities Investment Accelerator,FY24,Environmental Protection Agency,N/A,Protect Clean Air and Water,J2
10.69,Lake Tahoe Erosion Control Grant Program,FY24,Department of Agriculture,Forest Service,Protect Clean Air and Water,J2
81.042,Weatherization Assistance for Low-Income Persons,FY24,Department of Energy,N/A,Protect Clean Air and Water,J2
10.93,Composting and Food Waste Reduction Cooperative Agreement Program,New for FY25,Department of Agriculture,Natural Resources Conservation Service,Protect Clean Air and Water,J2
20.268,Congestion Mitigation and Air Quality Improvement Program (CMAQ),New for FY25,Department of Transportation,Federal Highway Administration (FHWA),Protect Clean Air and Water,J2
20.286,Reduction of Truck Emissions at Port Facilities,New for FY25,Department of Transportation,Federal Highway Administration (FHWA),Protect Clean Air and Water,J2
15.433,Flood Control Act Lands,FY24,Department of the Interior,Departmental Offices,Reduce Environmental Hazards,J3
15.616,Clean Vessel Act ,FY24,Department of the Interior,Fish and Wildlife Service,Reduce Environmental Hazards,J3
15.658,Natural Resource Damage Assessment and Restoration,FY24,Department of the Interior,Fish and Wildlife Service,Reduce Environmental Hazards,J3
66.309,"Surveys, Studies, Investigations, Training and Special Purpose Activities Relating to Environmental Justice",FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.6,Environmental Protection Consolidated Grants for the Insular Areas - Program Support,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.609,Protection of Children from Environmental Health Risks,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.614,Financial Assistance For Community Support Activities To Address Environmental Justice Issues,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.708,Pollution Prevention Grants Program,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.717,Source Reduction Assistance,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.82,STATE PROGRAMS FOR CONTROL OF COAL COMBUSTION RESIDUALS,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
93.161,Health Program for Toxic Substances and Disease Registry,FY24,Department of Health and Human Services,Centers for Disease Control and Prevention,Reduce Environmental Hazards,J3
93.24,State Capacity Building,FY24,Department of Health and Human Services,Centers for Disease Control and Prevention,Reduce Environmental Hazards,J3
12.008,Dredged Material Containment Area,FY24,Department of Defense,Department of the Army,Reduce Environmental Hazards,J3
12.113,State Memorandum of Agreement Program for the Reimbursement of Technical Services,FY24,Department of Defense,Department of the Army,Reduce Environmental Hazards,J3
15.041,Environmental Management Indian ,FY24,Department of the Interior,Bureau of Indian Education,Reduce Environmental Hazards,J3
15.099,Abandoned Hardrock Mine Reclamation (AHMR/AML) Grants,FY24,Department of the Interior,Departmental Offices,Reduce Environmental Hazards,J3
15.222,Cooperative Inspection Agreements with States and Tribes,FY24,Department of the Interior,Bureau of Land Management,Reduce Environmental Hazards,J3
15.236,Environmental Quality and Protection,FY24,Department of the Interior,Bureau of Land Management,Reduce Environmental Hazards,J3
15.252,Abandoned Mine Land Reclamation (AMLR),FY24,Department of the Interior,Office of Surface Mining,Reduce Environmental Hazards,J3
15.255,Science and Technology Projects Related to Coal Mining and Reclamation,FY24,Department of the Interior,Office of Surface Mining,Reduce Environmental Hazards,J3
15.441,Safety and Environmental Research and Data Collection for Offshore Energy and Mineral Activities,FY24,Department of the Interior,Bureau of Safety and Environmental Enforcement,Reduce Environmental Hazards,J3
66.11,Healthy Communities Grant Program,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.204,Multipurpose Grants to States and Tribes ,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.305,Compliance Assistance Support for Services to the Regulated Community and Other Assistance Providers ,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.312,Environmental Justice Government-to-Government (EJG2G) Program,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.313,International Compliance and Enforcement Projects,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.473,Direct Implementation Tribal Cooperative Agreements,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.604,Environmental Justice Small Grant Program ,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.605,Performance Partnership Grants,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.7,Consolidated Pesticide Enforcement Cooperative Agreements,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.701,Toxic Substances Compliance Monitoring Cooperative Agreements,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.801,Hazardous Waste Management State Program Support,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.802,"Superfund State, Political Subdivision, and Indian Tribe Site-Specific Cooperative Agreements ",FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.804,"Underground Storage Tank (UST) Prevention, Detection, and Compliance Program",FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.805,Leaking Underground Storage Tank Trust Fund Corrective Action Program ,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.806,Superfund Technical Assistance Grants (TAG) for Community Groups at National Priority List (NPL) Sites,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.809,Superfund State and Indian Tribe Core Program Cooperative Agreements,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.812,Hazardous Waste Management Grant Program for Tribes,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.813,"Alternative or Innovative Treatment Technology Research, Demonstration, Training, and Hazardous Substance Research Grants",FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.814,"Brownfields Training, Research, and Technical Assistance Grants and Cooperative Agreements ",FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.816,Headquarters and Regional Underground Storage Tanks Program,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.817,State and Tribal Response Program Grants,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.818,"Brownfields Multipurpose, Assessment, Revolving Loan Fund, and Cleanup Cooperative Agreements",FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.926,Indian Environmental General Assistance Program (GAP),FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.931,International Financial Assistance Projects Sponsored by the Office of International and Tribal Affairs,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.961,Superfund State and Indian Tribe Combined Cooperative Agreements (Site-Specfic and Core),FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
66.965,CONTAMINATED ALASKA NATIVE CLAIMS SETTLEMENT ACT LANDS ASSISTANCE AGREEMENTS,FY24,Environmental Protection Agency,N/A,Reduce Environmental Hazards,J3
20.7,Pipeline Safety Program State Base Grant ,FY24,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Reduce Environmental Hazards,J3
20.703,Interagency Hazardous Materials Public Sector Training and Planning Grants,FY24,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Reduce Environmental Hazards,J3
20.706,Pipeline Emergency Response Grant (PERG),FY24,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Reduce Environmental Hazards,J3
20.707,Hazardous Materials State Inspection (HMSI) Grant,FY24,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Reduce Environmental Hazards,J3
20.71,Technical Assistance Grants,FY24,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Reduce Environmental Hazards,J3
20.72,State Damage Prevention Program Grants,FY24,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Reduce Environmental Hazards,J3
20.721,PHMSA Pipeline Safety Program One Call Grant,FY24,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Reduce Environmental Hazards,J3
20.723,PHMSA Pipeline Safety Research and Development '''Other Transaction Agreements'۝,FY24,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Reduce Environmental Hazards,J3
20.725,PHMSA Pipeline Safety Underground Natural Gas Storage Grant ,FY24,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Reduce Environmental Hazards,J3
10.728,Inflation Reduction Act Hazardous Fuels Transportation Assistance,FY24,Department of Agriculture,Forest Service,Reduce Environmental Hazards,J3
10.982,"Testing, Mitigation, and Relief for Agricultural Contamination by Per- and Polyfluoroalkyl Substances",FY24,Department of Agriculture,Farm Service Agency,Reduce Environmental Hazards,J3
81.005,"Environmental Monitoring, Independent Research, Technical Analysis",FY24,Department of Energy,N/A,Reduce Environmental Hazards,J3
81.065,Nuclear Legacy Cleanup Program,FY24,Department of Energy,N/A,Reduce Environmental Hazards,J3
81.092,Remedial Action and Waste Management,FY24,Department of Energy,N/A,Reduce Environmental Hazards,J3
81.104,Environmental Remediation and Waste Processing and Disposal,FY24,Department of Energy,N/A,Reduce Environmental Hazards,J3
81.106,"Transport of Transuranic Wastes to the Waste Isolation Pilot Plant: States and Tribal Concerns, Proposed Solutions",FY24,Department of Energy,N/A,Reduce Environmental Hazards,J3
81.108,Epidemiology and Other Health Studies Financial Assistance Program,FY24,Department of Energy,N/A,Reduce Environmental Hazards,J3
81.136,Long-Term Surveillance and Maintenance,FY24,Department of Energy,N/A,Reduce Environmental Hazards,J3
81.214,"Environmental Monitoring/Cleanup, Cultural and Resource Mgmt., Emergency Response Research, Outreach, Technical Analysis",FY24,Department of Energy,N/A,Reduce Environmental Hazards,J3
81.256,"Environmental Monitoring/Cleanup, Cultural and Resource Mgmt., Emergency Response Research, Outreach, Technical Analysis",FY24,Department of Energy,N/A,Reduce Environmental Hazards,J3
81.258,Glovebox Manufacturing Expansion Initiative,FY24,Department of Energy,N/A,Reduce Environmental Hazards,J3
10.125,Hazardous Waste Management,New for FY25,Department of Agriculture,Farm Service Agency,Reduce Environmental Hazards,J3
20.705,Hazardous Materials Emergency Preparedness (HMEP),New for FY25,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Reduce Environmental Hazards,J3
20.709,Assistance for Local Emergency Response Training (ALERT),New for FY25,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Reduce Environmental Hazards,J3
20.711,Community Safety Grants,New for FY25,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Reduce Environmental Hazards,J3
20.712,Hazardous Materials Instructor Training (HMIT),New for FY25,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Reduce Environmental Hazards,J3
20.713,Supplemental Public Sector Training Grants,New for FY25,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Reduce Environmental Hazards,J3
20.274,Low-Carbon Transportation Materials Program,New for FY25,Department of Transportation,Federal Highway Administration (FHWA),Reduce Environmental Hazards,J3
10.164,Wholesale Farmers and Alternative Market Development,FY24,Department of Agriculture,Agricultural Marketing Service,Improve Food Supply Chains,K1
10.175,Farmers Market and Local Food Promotion Program,FY24,Department of Agriculture,Agricultural Marketing Service,Improve Food Supply Chains,K1
10.177,Regional Food System Partnerships,FY24,Department of Agriculture,Agricultural Marketing Service,Improve Food Supply Chains,K1
10.179,Micro-Grants for Food Security Program,FY24,Department of Agriculture,Agricultural Marketing Service,Improve Food Supply Chains,K1
10.189,Local Meat Capacity Grants,FY24,Department of Agriculture,Agricultural Marketing Service,Improve Food Supply Chains,K1
10.19,Resilient Food System Infrastructure Program,FY24,Department of Agriculture,Agricultural Marketing Service,Improve Food Supply Chains,K1
10.193,Commodity Credit Corporation (CCC) Funding to Alleviate Emergency Supply Chain Disruption in the Food Distribution Program on Indian Reservation,FY24,Department of Agriculture,Agricultural Marketing Service,Improve Food Supply Chains,K1
10.194,Commodity Credit Corporation (CCC) Funding to Alleviate Emergency Supply Chain Disruption in the Commodity Supplemental Food Program (CSFP),FY24,Department of Agriculture,Agricultural Marketing Service,Improve Food Supply Chains,K1
10.304,Food and Agriculture Defense Initiative (FADI),FY24,Department of Agriculture,National Institute of Food and Agriculture,Improve Food Supply Chains,K1
10.38,Food Supply Chain Guaranteed Loan Program,FY24,Department of Agriculture,Rural Business-Cooperative Service,Improve Food Supply Chains,K1
10.381,Meat and Poultry Processing Expansion Program,FY24,Department of Agriculture,Rural Business-Cooperative Service,Improve Food Supply Chains,K1
10.382,Meat and Poultry Intermediary Lending Program,FY24,Department of Agriculture,Rural Business-Cooperative Service,Improve Food Supply Chains,K1
10.384,Indigenous Animals Harvesting and Meat Processing Grant Program,FY24,Department of Agriculture,Rural Business-Cooperative Service,Improve Food Supply Chains,K1
10.531,State Agency: Farm to School Program Training and Curricula,FY24,Department of Agriculture,Food and Nutrition Service,Improve Food Supply Chains,K1
10.89,Rural Development Cooperative Agreement Program,FY24,Department of Agriculture,Rural Business-Cooperative Service,Improve Food Supply Chains,K1
10.935,Urban Agriculture and Innovative Production,FY24,Department of Agriculture,Natural Resources Conservation Service,Improve Food Supply Chains,K1
10.047,Tribal Food Sovereignty,FY24,Department of Agriculture,Immediate Office of the Secretary of Agriculture,Improve Food Supply Chains,K1
10.188,Organic Market Development Grant (OMDG) Program,FY24,Department of Agriculture,Agricultural Marketing Service,Improve Food Supply Chains,K1
10.645,Farm to School State Formula Grant,FY24,Department of Agriculture,Food and Nutrition Service,Improve Food Supply Chains,K1
10.196,Chesapeake Bay Blue Catfish Purchasing,New for FY25,Department of Agriculture,Agricultural Marketing Service,Improve Food Supply Chains,K1
10.182,"Pandemic Relief Activities: Local Food Purchase Agreements with States, Tribes, and Local Governments",FY24,Department of Agriculture,Agricultural Marketing Service,Improve Food Distribution Networks,K2
10.185,Local Food for Schools Cooperative Agreement Program,FY24,Department of Agriculture,Agricultural Marketing Service,Improve Food Distribution Networks,K2
10.186,Regional Food Business Centers,FY24,Department of Agriculture,Agricultural Marketing Service,Improve Food Distribution Networks,K2
10.568,Emergency Food Assistance Program (Administrative Costs),FY24,Department of Agriculture,Food and Nutrition Service,Improve Food Distribution Networks,K2
10.872,Healthy Food Financing Initiative,FY24,Department of Agriculture,Rural Business-Cooperative Service,Improve Food Distribution Networks,K2
10.27,Agricultural Science Center of Excellence for Nutrition and Diet Pilot Nutrition Hub,New for FY25,Department of Agriculture,National Institute of Food and Agriculture,Improve Food Distribution Networks,K2
93.045,"Special Programs for the Aging, Title III, Part C, Nutrition Services",FY24,Department of Health and Human Services,Administration for Community Living (ACL),End Hunger,K3
93.047,"Special Programs for the Aging, Title VI, Part A, Grants to Indian Tribes, Part B, Grants to Native Hawaiians",FY24,Department of Health and Human Services,Administration for Community Living (ACL),End Hunger,K3
93.053,Nutrition Services Incentive Program ,FY24,Department of Health and Human Services,Administration for Community Living (ACL),End Hunger,K3
10.187,The Emergency Food Assistance Program (TEFAP) Commodity Credit Corporation Eligible Recipient Funds,FY24,Department of Agriculture,Agricultural Marketing Service,End Hunger,K3
10.195,Organic Dairy Product Promotion,FY24,Department of Agriculture,Agricultural Marketing Service,End Hunger,K3
10.244,"Special Supplemental Nutrition Program for Women, Infants, and Children ''' National Workforce Strategy Development",FY24,Department of Agriculture,National Institute of Food and Agriculture,End Hunger,K3
10.331,Gus Schumacher Nutrition Incentive Program,FY24,Department of Agriculture,National Institute of Food and Agriculture,End Hunger,K3
10.514,Expanded Food and Nutrition Education Program,FY24,Department of Agriculture,National Institute of Food and Agriculture,End Hunger,K3
10.522,Food and Agriculture Service Learning Program ,FY24,Department of Agriculture,National Institute of Food and Agriculture,End Hunger,K3
10.529,Food Distribution Program on Indian Reservations (FDPIR) Nutrition Paraprofessional Training,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.533,SNAP-Ed Toolkit,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.535,SNAP Fraud Framework Implementation Grant,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.539,CNMI Nutrition Assistance,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.541,Child Nutrition-Technology Innovation Grant,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.542,Pandemic EBT Food Benefits,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.545,Farmers'۪ Market Supplemental Nutrition Assistance Program Support Grants,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.551,Supplemental Nutrition Assistance Program,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.553,School Breakfast Program,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.555,National School Lunch Program,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.556,Special Milk Program for Children,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.557,"WIC Special Supplemental Nutrition Program for Women, Infants, and Children ",FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.558,Child and Adult Care Food Program,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.559,Summer Food Service Program for Children,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.56,State Administrative Expenses for Child Nutrition,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.561,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.565,Commodity Supplemental Food Program,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.566,Nutrition Assistance For Puerto Rico,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.567,Food Distribution Program on Indian Reservations,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.576,Senior Farmers Market Nutrition Program,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.577,SNAP Partnership Grant,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.578,WIC Grants To States (WGS) ,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.582,Fresh Fruit and Vegetable Program ,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.587,National Food Service Management Institute Administration and Staffing Grant,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.594,Food Distribution Program on Indian Reservations Nutrition Education Grants ,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.608,Food for Education,FY24,Department of Agriculture,Foreign Agricultural Service,End Hunger,K3
10.646,Summer Electronic Benefit Transfer Program for Children,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.649,Pandemic EBT Administrative Costs,FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.569,Emergency Food Assistance Program (Food Commodities),FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.572,WIC Farmers' Market Nutrition Program (FMNP),FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
10.58,"Supplemental Nutrition Assistance Program, Process and Technology Improvement Grants",FY24,Department of Agriculture,Food and Nutrition Service,End Hunger,K3
93.556,MaryLee Allen Promoting Safe and Stable Families Program,FY24,Department of Health and Human Services,Administration for Children and Families,Ensure Stability and Security for Children Without Parents,L1
TC.120,Assistance for adopted foster children,FY24,Department of the Treasury,Internal Revenue Service (IRS),Ensure Stability and Security for Children Without Parents,L1
TC.121,Adoption credit and exclusion,FY24,Department of the Treasury,Internal Revenue Service (IRS),Ensure Stability and Security for Children Without Parents,L1
TC.126,Exclusion of certain foster care payments,FY24,Department of the Treasury,Internal Revenue Service (IRS),Ensure Stability and Security for Children Without Parents,L1
15.144,Indian Child Welfare Act Title II Grants,FY24,Department of the Interior,Bureau of Indian Education,Ensure Stability and Security for Children Without Parents,L1
93.087,Enhance Safety of Children Affected by Substance Abuse,FY24,Department of Health and Human Services,Administration for Children and Families,Ensure Stability and Security for Children Without Parents,L1
93.09,Guardianship Assistance,FY24,Department of Health and Human Services,Administration for Children and Families,Ensure Stability and Security for Children Without Parents,L1
93.471,Title IV-E Kinship Navigator Program,FY24,Department of Health and Human Services,Administration for Children and Families,Ensure Stability and Security for Children Without Parents,L1
93.563,Child Support Services,FY24,Department of Health and Human Services,Administration for Children and Families,Ensure Stability and Security for Children Without Parents,L1
93.564,Child Support Services Research,FY24,Department of Health and Human Services,Administration for Children and Families,Ensure Stability and Security for Children Without Parents,L1
93.597,Grants to States for Access and Visitation Programs,FY24,Department of Health and Human Services,Administration for Children and Families,Ensure Stability and Security for Children Without Parents,L1
93.603,Adoption and Legal Guardianship Incentive Payments Program,FY24,Department of Health and Human Services,Administration for Children and Families,Ensure Stability and Security for Children Without Parents,L1
93.605,Family Connection Grants,FY24,Department of Health and Human Services,Administration for Children and Families,Ensure Stability and Security for Children Without Parents,L1
93.645,Stephanie Tubbs Jones Child Welfare Services Program,FY24,Department of Health and Human Services,Administration for Children and Families,Ensure Stability and Security for Children Without Parents,L1
93.652,Adoption Opportunities,FY24,Department of Health and Human Services,Administration for Children and Families,Ensure Stability and Security for Children Without Parents,L1
93.658,Foster Care Title IV-E,FY24,Department of Health and Human Services,Administration for Children and Families,Ensure Stability and Security for Children Without Parents,L1
93.659,Adoption Assistance,FY24,Department of Health and Human Services,Administration for Children and Families,Ensure Stability and Security for Children Without Parents,L1
93.676,Unaccompanied Children Program,FY24,Department of Health and Human Services,Administration for Children and Families,Ensure Stability and Security for Children Without Parents,L1
93.041,"Special Programs for the Aging, Title VII, Chapter 3, Programs for Prevention of Elder Abuse, Neglect, and Exploitation",FY24,Department of Health and Human Services,Administration for Community Living (ACL),Improve Older Adult Health,L10
93.043,"Special Programs for the Aging, Title III, Part D, Disease Prevention and Health Promotion Services",FY24,Department of Health and Human Services,Administration for Community Living (ACL),Improve Older Adult Health,L10
93.044,"Special Programs for the Aging, Title III, Part B, Grants for Supportive Services and Senior Centers",FY24,Department of Health and Human Services,Administration for Community Living (ACL),Improve Older Adult Health,L10
93.048,"Special Programs for the Aging, Title IV, and Title II, Discretionary Projects",FY24,Department of Health and Human Services,Administration for Community Living (ACL),Improve Older Adult Health,L10
93.051,Alzheimer's Disease Demonstration Grants to States,FY24,Department of Health and Human Services,Administration for Community Living (ACL),Improve Older Adult Health,L10
93.052,"National Family Caregiver Support, Title III, Part E",FY24,Department of Health and Human Services,Administration for Community Living (ACL),Improve Older Adult Health,L10
93.054,"National Family Caregiver Support, Title VI, Part C, Grants To Indian Tribes And Native Hawaiians",FY24,Department of Health and Human Services,Administration for Community Living (ACL),Improve Older Adult Health,L10
93.072,Lifespan Respite Care Program,FY24,Department of Health and Human Services,Administration for Community Living (ACL),Improve Older Adult Health,L10
93.324,State Health Insurance Assistance Program ,FY24,Department of Health and Human Services,Administration for Community Living (ACL),Improve Older Adult Health,L10
