al_#,PON ID
16.817,PON.159
20.824,PON.7ND
11.601,PON.1S
15.432,PON.N11
15.533,PON.208
15.533,PON.7Q
93.396,PON.103
93.396,PON.15L
93.396,PON.T125
93.393,PON.103
93.393,PON.15L
93.393,PON.T125
93.397,PON.103
93.397,PON.15L
93.397,PON.T125
93.399,PON.103
93.399,PON.15L
93.399,PON.T125
93.394,PON.103
93.394,PON.15L
93.394,PON.T125
93.898,PON.876
93.398,PON.N16
93.398,PON.N18
93.398,PON.N19
93.395,PON.103
93.395,PON.15L
93.395,PON.T125
15.660,PON.7Q
15.660,PON.N26
93.834,PON.125
93.834,PON.622
93.834,PON.872
10.326,PON.102
10.326,PON.144
10.326,PON.195
20.317,PON.T35
16.746,PON.10
16.746,PON.829
16.746,PON.N35
20.808,PON.866
20.808,PON.12B
TC.075,PON.T91
TC.076,PON.T91
TC.065,PON.T91
TC.051,PON.1F
TC.043,PON.866
TC.017,PON.866
TC.017,PON.N73
15.083,PON.117
15.083,PON.10C
15.083,PON.9C
21.011,PON.835
93.799,PON.897
TC.046,PON.866
TC.046,PON.N73
20.265,PON.1J
20.265,PON.8Q
93.837,PON.103
93.837,PON.15L
93.837,PON.T125
84.048,PON.909
84.048,PON.910
84.101,PON.827
84.051,PON.827
TC.078,PON.T91
97.102,PON.10
97.102,PON.N38
93.322,PON.125
93.322,PON.15L
93.456,PON.909
93.456,PON.N74
93.885,PON.876
93.885,PON.N70
10.951,PON.N22
93.532,PON.896
93.532,PON.901
93.532,PON.N74
11.478,PON.2Q
11.478,PON.6Q
11.478,PON.N28
93.492,PON.856
93.492,PON.897
93.492,PON.901
93.490,PON.876
93.490,PON.897
93.490,PON.N74
93.967,PON.125
93.967,PON.N74
93.283,PON.125
93.283,PON.622
97.061,PON.50
97.061,PON.1ND
97.061,PON.N52
84.220,PON.144
84.220,PON.913
93.779,PON.876
93.779,PON.T124
93.135,PON.125
93.135,PON.15L
93.135,PON.16L
20.291,PON.T34
20.291,PON.T35
93.157,PON.125
10.523,PON.103
10.523,PON.195
66.490,PON.3J
15.651,PON.827
15.651,PON.N26
15.512,PON.N26
15.564,PON.N26
15.648,PON.208
15.648,PON.11Q
15.648,PON.9Q
15.532,PON.N26
93.696,PON.896
93.599,PON.912
15.943,PON.T69
64.039,PON.861
64.039,PON.N68
19.020,PON.827
84.282,PON.914
97.040,PON.50
97.040,PON.7P
10.196,PON.205
15.930,PON.T69
11.457,PON.N28
93.670,PON.145
93.670,PON.157
93.669,PON.157
10.558,PON.365
10.558,PON.624
84.335,PON.913
84.335,PON.1G
93.575,PON.1G
93.575,PON.2G
93.489,PON.59
93.489,PON.1G
93.596,PON.1G
93.596,PON.2G
TC.142,PON.T91
93.865,PON.103
93.865,PON.15L
93.865,PON.T125
93.HDR,PON.103
93.HDR,PON.15L
93.HDR,PON.T125
93.HDM,PON.101
93.HDM,PON.119
93.HDM,PON.15L
93.HDT,PON.103
93.HDT,PON.15L
93.HDT,PON.T125
93.HDC,PON.183
93.HDC,PON.15L
93.HDC,PON.T125
93.HDD,PON.N16
93.HDD,PON.N18
93.HDD,PON.N19
93.HDN,PON.N16
93.HDN,PON.N18
93.HDN,PON.N19
93.HDS,PON.36
93.HDS,PON.103
93.HDS,PON.T125
10.579,PON.129
10.579,PON.144
10.579,PON.4G
10.541,PON.868
10.541,PON.4G
10.541,PON.T52
93.563,PON.10
93.563,PON.861
93.564,PON.10
93.564,PON.145
93.564,PON.861
93.648,PON.145
93.197,PON.4J
93.197,PON.T89
93.197,PON.T98
16.818,PON.145
16.818,PON.186
16.818,PON.897
16.831,PON.145
16.831,PON.150
16.831,PON.160
10.521,PON.829
10.521,PON.853
93.767,PON.N68
93.255,PON.876
93.255,PON.N74
16.583,PON.157
16.583,PON.T55
93.643,PON.65
11.037,PON.866
11.049,PON.102
11.049,PON.N16
11.042,PON.36
11.042,PON.103
14.889,PON.833
14.889,PON.835
14.892,PON.833
14.892,PON.835
93.068,PON.15L
93.068,PON.T89
97.128,PON.N44
97.010,PON.T18
97.154,PON.N38
12.840,PON.827
12.840,PON.5ND
84.004,PON.144
84.004,PON.5G
81.255,PON.9E
TC.029,PON.866
TC.029,PON.N73
TC.030,PON.866
TC.030,PON.N73
66.051,PON.1J
66.051,PON.6T
66.045,PON.1J
15.616,PON.4J
15.616,PON.T39
66.458,PON.3J
10.288,PON.14L
10.288,PON.5ND
10.288,PON.896
11.431,PON.103
11.431,PON.4F
66.046,PON.1J
93.826,PON.876
93.826,PON.T52
10.539,PON.7
17.307,PON.861
93.965,PON.872
93.965,PON.873
93.965,PON.876
15.630,PON.2Q
15.630,PON.9Q
15.614,PON.9Q
11.419,PON.2Q
11.419,PON.7Q
11.419,PON.N6
11.420,PON.2Q
11.420,PON.6Q
11.420,PON.N28
10.962,PON.204
10.962,PON.827
10.962,PON.N58
93.099,PON.125
93.099,PON.622
10.738,PON.4Q
10.738,PON.N29
10.738,PON.4Q
10.738,PON.3Q
10.679,PON.4Q
